Unnamed: 0,Name,Brand,Price,Rating,Processor_brand,Processor_name,Processor_variant,Processor_gen,Core_per_processor,Low_Power_Cores,Energy_Efficient_Units,Threads,RAM_GB,RAM_type,Storage_capacity_GB,Storage_type,Graphics_name,Graphics_brand,Graphics_integreted,Display_size_inches,Horizontal_pixel,Vertical_pixel,ppi,Touch_screen,Operating_system,Log_Price,Graphics_integreted_label
0,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,50399,4.3,AMD,AMD Ryzen 5,5600H,5.0,6.0,0.0,0,12.0,8,DDR4,512, SSD,AMD Radeon RX 6500M,AMD,False,15.6,1920,1080,141.21,True,Windows 11 OS,10.827726612592778,Dedicated
1,Lenovo V15 G4 ‎82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,26690,4.45,AMD,AMD Ryzen 3,7320U,7.0,4.0,0.0,0,8.0,8,LPDDR5,512, SSD,AMD Radeon Graphics,AMD,False,15.6,1920,1080,141.21,False,Windows 11 OS,10.19204424239857,Dedicated
2,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,37012,4.65,Intel,Intel Core i3,1215U,12.0,6.0,0.0,0,8.0,8,DDR4,512, SSD,Intel UHD Graphics,Intel,False,15.6,1920,1080,141.21,False,Windows 11 OS,10.51899746336892,Dedicated
3,Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Samsung,69990,4.75,Intel,Intel Core i5,1240P,12.0,12.0,0.0,0,16.0,16,LPDDR5,512, SSD,Intel Iris Xe Graphics,Intel,False,13.3,1080,1920,165.63,False,Windows 11 OS,11.156107653683586,Dedicated
4,Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Tecno,23990,4.25,Intel,Intel Core i3,1115G4,11.0,2.0,0.0,0,4.0,8,LPDDR4,512, SSD,Intel UHD Graphics,Intel,False,15.6,1920,1080,141.21,False,Windows 11 OS,10.08539235583374,Dedicated
5,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Samsung,42990,4.35,Intel,Intel Core i5,1235U,12.0,10.0,0.0,0,12.0,8,LPDDR4,512, SSD,Intel Integrated UHD,Intel,True,15.6,1920,1080,141.21,False,Windows 11 OS,10.668722809490328,Integrated
6,Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),Xiaomi,102990,4.25,Intel,Intel Core i9,14900HX,14.0,24.0,0.0,0,32.0,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4060,NVIDIA,False,16.1,2560,1600,187.51,False,Windows 11 OS,11.542387175119847,Dedicated
7,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Dell,33780,4.75,Intel,Intel Core i3,1215U,12.0,6.0,0.0,0,8.0,8,DDR4,512, SSD,Intel UHD Graphics,Intel,False,15.6,1920,1080,141.21,False,Windows 11 OS,10.427624190361792,Dedicated
8,HP 15s-fq5330TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,54990,4.0,Intel,Intel Core i5,1235U,12.0,10.0,0.0,0,12.0,16,DDR4,512, SSD,Intel Integrated Iris Xe,Intel,True,15.6,1920,1080,141.21,False,Windows 11 OS,10.91490662950186,Integrated
9,Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Asus,55980,4.55,Intel,Intel Core i5,12500H,12.0,12.0,0.0,0,16.0,16,DDR4,512, SSD,Intel Iris Xe,Intel,False,15.6,1920,1080,141.21,False,Windows 11 OS,10.932749763069445,Dedicated
